acl 2.2.52-3
lxqt-globalkeys 0.11.1-1
lxqt-notificationd 0.11.1-1
lxqt-openssh-askpass 0.11.1-2
lxqt-panel 0.11.1-1
lxqt-policykit 0.11.1-2
lxqt-powermanagement 0.11.1-1
lxqt-qtplugin 0.11.1-2
lxqt-runner 0.11.1-1
lxqt-session 0.11.1-1
lxqt-sudo 0.11.1-1
lynx 2.8.8-5
lz4 1:1.7.5-1
lzo 2.10-1
lzop 1.03-5
m4 1.4.18-1
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.11-1
marco 1.18.1-1
mate-backgrounds 1.18.0-1
mate-control-center 1.18.2-1
mate-desktop 1.18.0-1
mate-icon-theme 1.18.2-1
mate-menus 1.18.0-1
mate-notification-daemon 1.18.0-1
mate-panel 1.18.3-1
mate-polkit 1.18.1-1
mate-session-manager 1.18.0-1
mate-settings-daemon 1.18.1-1
mate-themes 3.22.12-1
mate-user-guide 1.18.0-1
mc 4.8.19-1
mdadm 4.0-1
media-player-info 22-2
memtest86+ 5.01-2
menu-cache 1.0.2-2
mesa 17.1.3-1
mime-types 9-1
mkinitcpio 23-1
mkinitcpio-busybox 1.25.1-2
mkinitcpio-nfs-utils 0.3-5
mobile-broadband-provider-info 20170310-1
mozilla-common 1.4-4
mpfr 3.1.5.p2-1
mpv 1:0.25.0-3
mtdev 1.1.5-1
mtools 4.0.18-4
muparser 2.2.5-2
nano 2.8.4-1
nbd 3.15.3-1
ncurses 6.0+20170527-1
ndisc6 1.0.3-2
net-tools 1.60.20160710git-1
netctl 1.12-2
nettle 3.3-1
network-manager-applet 1.8.2-1
networkmanager 1.8.0-1
nfs-utils 2.1.1-3
nfsidmap 0.26-1
nilfs-utils 2.2.6-1
ninja 1.7.2-1
nm-connection-editor 1.8.2-1
nmap 7.50-1
nodejs-lts-boron 6.11.0-1
noto-fonts 20170428-1
npm 4.6.1-1
npth 1.5-1
nspr 4.15-1
nss 3.31-3
ntfs-3g 2017.3.23-1
ntp 4.2.8.p10-2
obconf-qt 0.11.1-2
openal 1.18.0-1
openbox 3.6.1-3
openconnect 1:7.08-1
opencore-amr 0.1.5-1
openjpeg2 2.1.2-2
openresolv 3.9.0-1
openssh 7.5p1-2
openssl 1.1.0.f-1
openssl-1.0 1.0.2.l-1
openvpn 2.4.3-1
opus 1.2-1
orc 0.4.26+2+g249c709-1
os-prober 1.75-1
p11-kit 0.23.7-1
package-query 1.8-1
pacman 5.0.2-1
pacman-mirrorlist 20170427-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.6+9+g92cc73c8-1
parity 1.6.8-3
partclone 0.2.89-2
parted 3.2-5
partimage 0.6.9-11
patch 2.7.5-1
pbzip2 1.1.13-1
pciutils 3.5.4-1
pcmanfm 1.2.5-2
pcmanfm-qt 0.11.3-2
pcmciautils 018-7
pcre 8.40-1
pcre2 10.23-1
pcsclite 1.8.22-1
perl 5.26.0-1
perl-error 0.17024-2
pigz 2.3.4-1
pinentry 1.0.0-1
pixman 0.34.0-1
pixz 1.0.6-1
pkcs11-helper 1.22-2
pkg-config 0.29.2-1
polkit 0.113+29+g3272a98-1
polkit-qt5 0.112.0+git20160226-1
popt 1.16-8
powertop 2.9-1
ppp 2.4.7-2
pptpclient 1.8.0-2
presentproto 1.1-1
procps-ng 3.3.12-1
progsreiserfs 0.3.0.5-8
psmisc 22.21-3
python 3.6.1-1
python2 2.7.13-2
python2-olefile 0.43-2
python2-pillow 4.1.1-1
python2-simplejson 3.11.1-1
qt5-base 5.9.0-2
qt5-declarative 5.9.0-1
qt5-svg 5.9.0-1
qt5-wayland 5.9.0-1
qt5-x11extras 5.9.0-1
qt5-xmlpatterns 5.9.0-1
qterminal 0.7.1-2
qtermwidget 0.7.1-2
randrproto 1.5.0-1
readline 7.0.003-1
recordproto 1.14.2-2
refind-efi 0.10.8-1
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
resourceproto 1.2.0-3
rfkill 0.5-2
rp-pppoe 3.12-1
rpcbind 0.2.4-3
rsync 3.1.2-2
rubberband 1.8.1-3
s-nail 14.8.16-2
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
sdl2 2.0.5-3
sdparm 1.10-1
sed 4.4-1
semver 5.3.0-1
sg3_utils 1.42-1
shadow 4.4-3
shared-mime-info 1.8-1
slang 2.3.1a-1
smartmontools 6.5-1
smbclient 4.6.5-1
solid 5.35.0-1
sound-theme-freedesktop 0.8-2
speedtouch 1.3.1-5
speex 1.2.0-1
speexdsp 1.2rc3-2
spice 0.12.8-2
sqlite 3.19.3-1
squashfs-tools 4.3-4
sshfs 2.9-1
startup-notification 0.12-5
sublime-text 2.0.2-4
sudo 1.8.20.p2-1
sysfsutils 2.1.0-9
syslinux 6.03-7
systemd 232-8
systemd-sysvcompat 232-8
taglib 1.11.1-1
talloc 2.1.9-1
tar 1.29-2
tcl 8.6.6-1
tcpdump 4.9.0-2
tdb 1.3.12-1
testdisk 7.0-4
tevent 1:0.9.31-1
texinfo 6.3-2
thin-provisioning-tools 0.7.0-1
tinyxml 2.6.2-5
tre 0.8.0-4
tslib 1.11-1
tzdata 2017b-1
uchardet 0.0.6-1
udisks2 2.7.0-1
upower 0.99.4+12+g402640b-1
usb_modeswitch 2.5.0-1
usbmuxd 1.1.0-2
usbutils 008-1
util-linux 2.29.2-2
v4l-utils 1.12.5-1
vamp-plugin-sdk 2.6-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim 8.0.0628-1
vim-runtime 8.0.0628-1
volume_key 0.3.9-3
vpnc 0.5.3.svn550-2
wayland 1.13.0-1
wayland-protocols 1.8-1
webkit2gtk 2.16.4-1
weston 2.0.0-2
wget 1.19.1-2
which 2.21-2
wireless-regdb 2016.06.10-1
wireless_tools 30.pre9-1
wpa_actiond 1.4-2
wpa_supplicant 1:2.6-6
wvdial 1.61-6
wvstreams 4.6.1-13
